46|100.0|13|2026-02-19 23:42
54|100.0|10|2026-02-19 23:48
70|102.5|7|2026-02-19 23:48
44|102.0|14|2026-02-19 23:49
60|100.0|10|2026-02-19 23:51
8|4.7|3|2026-02-19 23:51
49|95.3|10|2026-02-20 15:28
47|90.7|10|2026-02-20 15:35
72|100.0|7|2026-02-20 20:57
49|100.0|13|2026-02-20 21:12
74|100.0|7|2026-02-21 21:17
61|95.3|8|2026-02-21 21:18
65|97.7|8|2026-02-21 21:25
66|100.0|8|2026-02-21 21:25
27|86.0|19|2026-02-21 21:26
60|97.5|8|2026-02-21 21:26
35|84.9|18|2026-03-10 14:03
65|100.0|8|2026-03-10 14:03
40|88.0|15|2026-03-10 14:04
38|93.8|60|2026-03-10 14:58
38|88.6|60|2026-03-10 15:10
40|89.7|60|2026-03-10 15:11
56|93.1|15|2026-03-10 15:17
35|91.1|60|2026-03-13 15:05
37|92.1|60|2026-03-13 16:32
20|85.5|60|2026-03-13 16:40
6|9.5|30|2026-03-13 16:49
8|87.5|15|2026-03-17 11:43
0|0.7|60|2026-03-17 11:59
16|9.8|60|2026-03-17 12:07
21|83.9|60|2026-03-17 12:14
31|95.7|60|2026-03-17 12:21
19|62.6|60|2026-03-17 12:26
20|91.3|15|2026-03-17 12:30
32|91.5|30|2026-03-17 12:36
16|14.7|30|2026-03-23 15:44
13|84.4|60|2026-03-23 15:54
28|69.2|30|2026-03-23 16:01
15|97.9|60|2026-03-23 16:08
4|60.6|60|2026-03-23 16:17
9|87.5|60|2026-03-23 16:27
0|100.0|15|2026-03-23 16:30
7|78.6|60|2026-03-23 16:33
64|98.4|15|2026-03-23 17:05
56|88.9|15|2026-03-23 17:19
56|85.3|15|2026-03-23 17:19
20|87.0|15|2026-03-23 17:21
60|95.1|15|2026-03-23 17:27
12|86.4|15|2026-03-23 17:28
27|90.8|60|2026-03-23 17:30
24|83.1|60|2026-03-24 00:48
20|86.2|60|2026-03-25 16:07
60|91.8|15|2026-03-25 16:09
